         JobID        JobName     Elapsed     TotalCPU Alloc   MaxRSS      State 
245461.0       python            00:00:05    01:06.232     1    3724K COMPLETED  
245462         adj_test.sl       00:00:07    01:05.820    80          COMPLETED  
245462.batch   batch             00:00:07    00:00.164    80    3744K COMPLETED  
245462.extern  extern            00:00:08     00:00:00    80       4K COMPLETED  
245462.0       python            00:00:06    01:05.656     1    3756K COMPLETED  
245463         FWT_emod3d_sh+    00:01:40     07:49:52   320          COMPLETED  
245463.batch   batch             00:01:40    00:00.776    80   13204K COMPLETED  
245463.extern  extern            00:01:40     00:00:00   320    1348K COMPLETED  
245463.0       emod3d-mpi        00:00:39     03:00:04   320   15732K COMPLETED  
245463.1       merge_P3-mpi      00:00:57     04:49:47   320  144040K COMPLETED  
245464         FWT_emod3d_sh+    00:02:05     10:09:45   320          COMPLETED  
245464.batch   batch             00:02:05    00:00.780    80   13196K COMPLETED  
245464.extern  extern            00:02:06     00:00:00   320    1352K COMPLETED  
245464.0       emod3d-mpi        00:00:42     03:14:47   320   15740K COMPLETED  
245464.1       merge_P3-mpi      00:01:20     06:54:56   320  146152K COMPLETED  
245465         FWT_emod3d_sh+    00:01:30     07:02:13   320          COMPLETED  
245465.batch   batch             00:01:30    00:00.796    80   13224K COMPLETED  
245465.extern  extern            00:01:30     00:00:00   320    1352K COMPLETED  
245465.0       emod3d-mpi        00:00:30     02:14:07   320  149640K COMPLETED  
245465.1       merge_P3-mpi      00:00:57     04:48:04   320  144292K COMPLETED  
245468         kernel_shot_i+    00:01:47    01:13.996    80          COMPLETED  
245468.batch   batch             00:01:47    00:00.160    80   13044K COMPLETED  
245468.extern  extern            00:01:47     00:00:00    80     748K COMPLETED  
245468.0       python            00:01:46    01:13.836     1 3542920+ COMPLETED  
245469         kernel_shot_i+    00:01:36    01:13.868    80          COMPLETED  
245469.batch   batch             00:01:36    00:00.160    80   13112K COMPLETED  
245469.extern  extern            00:01:36     00:00:00    80    1348K COMPLETED  
245469.0       python            00:01:35    01:13.708     1 3540576+ COMPLETED  
245470         kernel_shot_i+    00:01:31    01:12.572    80          COMPLETED  
245470.batch   batch             00:01:31    00:00.160    80   13108K COMPLETED  
245470.extern  extern            00:01:31     00:00:00    80     748K COMPLETED  
245470.0       python            00:01:29    01:12.412     1 3375604+ COMPLETED  
245471         kernel_shot_i+    00:01:30    01:11.984    80          COMPLETED  
245471.batch   batch             00:01:30    00:00.160    80   13104K COMPLETED  
245471.extern  extern            00:01:30     00:00:00    80    1348K COMPLETED  
245471.0       python            00:01:29    01:11.824     1 3422562+ COMPLETED  
245474         fdrun-mpi_ish+    00:00:26     02:02:45   320          COMPLETED  
245474.batch   batch             00:00:26    00:29.436    80    3748K COMPLETED  
245474.extern  extern            00:00:26     00:00:00   320    1352K COMPLETED  
245474.0       emod3d-mpi        00:00:24     02:02:15   320    3768K COMPLETED  
245476         fdrun-mpi_ish+    00:00:25     01:57:50   320          COMPLETED  
245476.batch   batch             00:00:25    00:29.564    80    3748K COMPLETED  
245476.extern  extern            00:00:25     00:00:00   320    1348K COMPLETED  
245476.0       emod3d-mpi        00:00:23     01:57:21   320    3756K COMPLETED  
245478         fdrun-mpi_ish+    00:00:26     02:01:13   320          COMPLETED  
245478.batch   batch             00:00:26    00:29.488    80    3744K COMPLETED  
245478.extern  extern            00:00:26     00:00:00   320    1352K COMPLETED  
245478.0       emod3d-mpi        00:00:24     02:00:44   320    3756K COMPLETED  
245479         fdrun-mpi_ish+    00:00:26     02:01:18   320          COMPLETED  
245479.batch   batch             00:00:26    00:29.508    80    3748K COMPLETED  
245479.extern  extern            00:00:26     00:00:00   320    1348K COMPLETED  
245479.0       emod3d-mpi        00:00:24     02:00:48   320    3752K COMPLETED  
245480         fdrun-mpi_ish+    00:00:23     01:44:05   320          COMPLETED  
245480.batch   batch             00:00:23    00:29.452    80    3748K COMPLETED  
245480.extern  extern            00:00:23     00:00:00   320    1352K COMPLETED  
245480.0       emod3d-mpi        00:00:21     01:43:36   320    3752K COMPLETED  
245481         fdrun-mpi_ish+    00:00:26     01:59:51   320          COMPLETED  
245481.batch   batch             00:00:26    00:29.544    80    3748K COMPLETED  
245481.extern  extern            00:00:26     00:00:00   320    1352K COMPLETED  
245481.0       emod3d-mpi        00:00:24     01:59:22   320    3756K COMPLETED  
245482         FWT_emod3d_sh+    00:01:45     08:18:20   320          COMPLETED  
245482.batch   batch             00:01:45    00:29.848    80   13264K COMPLETED  
245482.extern  extern            00:01:46     00:00:00   320    1348K COMPLETED  
245482.0       emod3d-mpi        00:00:43     03:25:21   320   15652K COMPLETED  
245482.1       merge_P3-mpi      00:00:57     04:52:29   320  146948K COMPLETED  
245483         FWT_emod3d_sh+    00:01:39     07:49:51   320          COMPLETED  
245483.batch   batch             00:01:39    00:29.624    80   13204K COMPLETED  
245483.extern  extern            00:01:39     00:00:00   320    1352K COMPLETED  
245483.0       emod3d-mpi        00:00:39     02:57:47   320   15596K COMPLETED  
245483.1       merge_P3-mpi      00:00:57     04:51:34   320  142716K COMPLETED  
245484         FWT_emod3d_sh+    00:01:36     07:35:34   320          COMPLETED  
245484.batch   batch             00:01:36    00:29.864    80   13200K COMPLETED  
245484.extern  extern            00:01:36     00:00:00   320    1352K COMPLETED  
245484.0       emod3d-mpi        00:00:35     02:39:23   320   15712K COMPLETED  
245484.1       merge_P3-mpi      00:00:58     04:55:40   320  144556K COMPLETED  
245485         FWT_emod3d_sh+    00:01:41     07:58:14   320          COMPLETED  
245485.batch   batch             00:01:41    00:29.652    80   13224K COMPLETED  
245485.extern  extern            00:01:41     00:00:00   320    2876K COMPLETED  
245485.0       emod3d-mpi        00:00:40     03:08:34   320   15712K COMPLETED  
245485.1       merge_P3-mpi      00:00:57     04:49:10   320  142984K COMPLETED  
245486         adj_test.sl       00:00:05    01:04.648    80          COMPLETED  
245486.batch   batch             00:00:05    00:00.160    80    3748K COMPLETED  
245486.extern  extern            00:00:05     00:00:00    80    1348K COMPLETED  
245486.0       python            00:00:05    01:04.488     1    3724K COMPLETED  
245487         adj_test.sl       00:00:06    01:02.440    80          COMPLETED  
245487.batch   batch             00:00:06    00:00.164    80    3760K COMPLETED  
245487.extern  extern            00:00:06     00:00:00    80    1352K COMPLETED  
245487.0       python            00:00:05    01:02.276     1    3724K COMPLETED  
245488         adj_test.sl       00:00:06    00:55.600    80          COMPLETED  
245488.batch   batch             00:00:06    00:00.156    80    3744K COMPLETED  
245488.extern  extern            00:00:06     00:00:00    80    1348K COMPLETED  
245488.0       python            00:00:05    00:55.444     1    3728K COMPLETED  
245489         adj_test.sl       00:00:06    00:55.940    80          COMPLETED  
245489.batch   batch             00:00:06    00:00.164    80    3744K COMPLETED  
245489.extern  extern            00:00:06     00:00:00    80    1348K COMPLETED  
245489.0       python            00:00:05    00:55.776     1    3728K COMPLETED  
245490         FWT_emod3d_sh+    00:01:41     07:59:26   320          COMPLETED  
245490.batch   batch             00:01:41    00:00.784    80   13264K COMPLETED  
245490.extern  extern            00:01:41     00:00:00   320    1348K COMPLETED  
245490.0       emod3d-mpi        00:00:41     03:07:10   320   15748K COMPLETED  
245490.1       merge_P3-mpi      00:00:58     04:52:14   320  146136K COMPLETED  
245491         FWT_emod3d_sh+    00:01:48     08:33:24   320          COMPLETED  
245491.batch   batch             00:01:48    00:00.760    80   13204K COMPLETED  
245491.extern  extern            00:01:48     00:00:00   320    1348K COMPLETED  
245491.0       emod3d-mpi        00:00:38     02:46:26   320   15728K COMPLETED  
245491.1       merge_P3-mpi      00:01:08     05:46:58   320  145628K COMPLETED  
245492         FWT_emod3d_sh+    00:01:38     07:44:59   320          COMPLETED  
245492.batch   batch             00:01:38    00:00.772    80   13200K COMPLETED  
245492.extern  extern            00:01:38     00:00:00   320    1352K COMPLETED  
245492.0       emod3d-mpi        00:00:38     02:50:39   320   15820K COMPLETED  
245492.1       merge_P3-mpi      00:00:57     04:54:19   320  142712K COMPLETED  
245493         FWT_emod3d_sh+    00:01:31     07:08:24   320          COMPLETED  
245493.batch   batch             00:01:31    00:00.752    80   13224K COMPLETED  
245493.extern  extern            00:01:32     00:00:00   320    1348K COMPLETED  
245493.0       emod3d-mpi        00:00:35     02:32:26   320   15756K COMPLETED  
245493.1       merge_P3-mpi      00:00:54     04:35:56   320  143780K COMPLETED  
245494         kernel_shot_i+    00:01:33    01:14.796    80          COMPLETED  
245494.batch   batch             00:01:33    00:00.160    80   13036K COMPLETED  
245494.extern  extern            00:01:33     00:00:00    80     748K COMPLETED  
245494.0       python            00:01:33    01:14.636     1 3220180+ COMPLETED  
245495         kernel_shot_i+    00:01:32    01:13.152    80          COMPLETED  
245495.batch   batch             00:01:32    00:00.160    80   13112K COMPLETED  
245495.extern  extern            00:01:32     00:00:00    80     748K COMPLETED  
245495.0       python            00:01:30    01:12.992     1 3334676+ COMPLETED  
245496         kernel_shot_i+    00:01:32    01:13.524    80          COMPLETED  
245496.batch   batch             00:01:32    00:00.160    80   13100K COMPLETED  
245496.extern  extern            00:01:32     00:00:00    80    1348K COMPLETED  
245496.0       python            00:01:31    01:13.364     1 3277890+ COMPLETED  
245498         kernel_shot_i+    00:01:32    01:13.528    80          COMPLETED  
245498.batch   batch             00:01:32    00:00.164    80   13100K COMPLETED  
245498.extern  extern            00:01:32     00:00:00    80    1348K COMPLETED  
245498.0       python            00:01:31    01:13.364     1 3329132+ COMPLETED  
245499         sum_kernel.sl     00:02:30    02:15.052    80          COMPLETED  
245499.batch   batch             00:02:30    00:00.160    80   13108K COMPLETED  
245499.extern  extern            00:02:31     00:00:00    80     748K COMPLETED  
245499.0       python            00:02:29    02:14.892     1  214804K COMPLETED  
245504         FWT_emod3d_sh+    00:01:39     07:44:20   320          COMPLETED  
245504.batch   batch             00:01:39    00:29.720    80   13204K COMPLETED  
245504.extern  extern            00:01:40     00:00:00   320    1352K COMPLETED  
245504.0       emod3d-mpi        00:00:38     02:54:44   320   15676K COMPLETED  
245504.1       merge_P3-mpi      00:00:57     04:49:05   320  142452K COMPLETED  
245505         FWT_emod3d_sh+    00:02:00     09:41:45   320          COMPLETED  
245505.batch   batch             00:02:00    00:29.532    80   51820K COMPLETED  
245505.extern  extern            00:02:01     00:00:00   320    2876K COMPLETED  
245505.0       emod3d-mpi        00:00:40     03:09:52   320   15544K COMPLETED  
245505.1       merge_P3-mpi      00:01:16     06:31:23   320  146144K COMPLETED  
245506         FWT_emod3d_sh+    00:01:32     07:13:32   320          COMPLETED  
245506.batch   batch             00:01:32    00:29.640    80   13224K COMPLETED  
245506.extern  extern            00:01:32     00:00:00   320    1352K COMPLETED  
245506.0       emod3d-mpi        00:00:32     02:22:38   320  152400K COMPLETED  
245506.1       merge_P3-mpi      00:00:57     04:50:24   320  143508K COMPLETED  
245507         FWT_emod3d_sh+    00:01:51     08:54:09   320          COMPLETED  
245507.batch   batch             00:01:51    00:29.660    80   13280K COMPLETED  
245507.extern  extern            00:01:51     00:00:00   320    1348K COMPLETED  
245507.0       emod3d-mpi        00:00:36     02:40:14   320   15728K COMPLETED  
245507.1       merge_P3-mpi      00:01:12     06:13:25   320  147992K COMPLETED  
245510         adj_test.sl       00:00:06    00:58.316    80          COMPLETED  
245510.batch   batch             00:00:06    00:00.156    80    3744K COMPLETED  
245510.extern  extern            00:00:06     00:00:00    80    1348K COMPLETED  
245510.0       python            00:00:05    00:58.160     1    3724K COMPLETED  
245511         adj_test.sl       00:00:06    01:05.328    80          COMPLETED  
245511.batch   batch             00:00:06    00:00.164    80    3744K COMPLETED  
245511.extern  extern            00:00:06     00:00:00    80       4K COMPLETED  
245511.0       python            00:00:05    01:05.164     1    3724K COMPLETED  
245512         adj_test.sl       00:00:05    00:42.976    80          COMPLETED  
245512.batch   batch             00:00:05    00:00.160    80    3744K COMPLETED  
245512.extern  extern            00:00:05     00:00:00    80    1348K COMPLETED  
245512.0       python            00:00:05    00:42.816     1    3724K COMPLETED  
245513         adj_test.sl       00:00:05    00:41.900    80          COMPLETED  
245513.batch   batch             00:00:05    00:00.164    80    3744K COMPLETED  
245513.extern  extern            00:00:05     00:00:00    80    1352K COMPLETED  
245513.0       python            00:00:05    00:41.736     1    3728K COMPLETED  
245514         FWT_emod3d_sh+    00:01:44     08:11:51   320          COMPLETED  
245514.batch   batch             00:01:44    00:00.772    80   13264K COMPLETED  
245514.extern  extern            00:01:44     00:00:00   320    1348K COMPLETED  
245514.0       emod3d-mpi        00:00:44     03:19:48   320   15728K COMPLETED  
245514.1       merge_P3-mpi      00:00:58     04:52:02   320  146408K COMPLETED  
245515         FWT_emod3d_sh+    00:01:38     07:41:33   320          COMPLETED  
245515.batch   batch             00:01:38    00:00.768    80   13204K COMPLETED  
245515.extern  extern            00:01:38     00:00:00   320    2876K COMPLETED  
245515.0       emod3d-mpi        00:00:34     02:28:56   320   15756K COMPLETED  
245515.1       merge_P3-mpi      00:01:01     05:12:35   320  146156K COMPLETED  
245516         FWT_emod3d_sh+    00:01:34     07:23:36   320          COMPLETED  
245516.batch   batch             00:01:34    00:00.756    80   13200K COMPLETED  
245516.extern  extern            00:01:34     00:00:00   320    1348K COMPLETED  
245516.0       emod3d-mpi        00:00:33     02:27:47   320   96308K COMPLETED  
245516.1       merge_P3-mpi      00:00:58     04:55:48   320  145100K COMPLETED  
245517         FWT_emod3d_sh+    00:01:32     07:13:38   320          COMPLETED  
245517.batch   batch             00:01:32    00:00.736    80   13224K COMPLETED  
245517.extern  extern            00:01:33     00:00:00   320    1352K COMPLETED  
245517.0       emod3d-mpi        00:00:33     02:25:31   320  120096K COMPLETED  
245517.1       merge_P3-mpi      00:00:56     04:48:06   320  142456K COMPLETED  
245518         kernel_shot_i+    00:01:29    01:11.144    80          COMPLETED  
245518.batch   batch             00:01:29    00:00.160    80   13036K COMPLETED  
245518.extern  extern            00:01:30     00:00:00    80    1348K COMPLETED  
245518.0       python            00:01:28    01:10.984     1   33928M COMPLETED  
245519         kernel_shot_i+    00:01:29    01:11.068    80          COMPLETED  
245519.batch   batch             00:01:29    00:00.160    80   13112K COMPLETED  
245519.extern  extern            00:01:29     00:00:00    80     748K COMPLETED  
245519.0       python            00:01:28    01:10.908     1 3510632+ COMPLETED  
245520         kernel_shot_i+    00:01:29    01:11.940    80          COMPLETED  
245520.batch   batch             00:01:29    00:00.156    80   13100K COMPLETED  
245520.extern  extern            00:01:30     00:00:00    80     748K COMPLETED  
245520.0       python            00:01:28    01:11.784     1 3520031+ COMPLETED  
245521         kernel_shot_i+    00:01:27    01:09.800    80          COMPLETED  
245521.batch   batch             00:01:27    00:00.160    80   13100K COMPLETED  
245521.extern  extern            00:01:27     00:00:00    80    1348K COMPLETED  
245521.0       python            00:01:26    01:09.640     1 3538214+ COMPLETED  
245522         fdrun-mpi_ish+    00:00:25     01:50:42   320          COMPLETED  
245522.batch   batch             00:00:25    00:29.412    80    3760K COMPLETED  
245522.extern  extern            00:00:25     00:00:00   320    1348K COMPLETED  
245522.0       emod3d-mpi        00:00:22     01:50:13   320    3752K COMPLETED  
245523         fdrun-mpi_ish+    00:00:27     02:05:35   320          COMPLETED  
245523.batch   batch             00:00:27    00:29.396    80   13260K COMPLETED  
245523.extern  extern            00:00:28     00:00:00   320    1352K COMPLETED  
245523.0       emod3d-mpi        00:00:24     02:05:05   320   15736K COMPLETED  
245524         FWT_emod3d_sh+    00:01:42     07:59:36   320          COMPLETED  
245524.batch   batch             00:01:42    00:29.708    80   13204K COMPLETED  
245524.extern  extern            00:01:42     00:00:00   320     748K COMPLETED  
245524.0       emod3d-mpi        00:00:41     03:09:29   320   15664K COMPLETED  
245524.1       merge_P3-mpi      00:00:57     04:49:37   320  142184K COMPLETED  
245525         FWT_emod3d_sh+    00:01:53     08:57:48   320          COMPLETED  
245525.batch   batch             00:01:53    00:29.644    80   13200K COMPLETED  
245525.extern  extern            00:01:53     00:00:00   320    1352K COMPLETED  
245525.0       emod3d-mpi        00:00:44     03:26:10   320   15612K COMPLETED  
245525.1       merge_P3-mpi      00:01:05     05:31:08   320  147988K COMPLETED  
245526         FWT_emod3d_sh+    00:01:40     07:51:47   320          COMPLETED  
245526.batch   batch             00:01:40    00:29.620    80   13224K COMPLETED  
245526.extern  extern            00:01:41     00:00:00   320    1352K COMPLETED  
245526.0       emod3d-mpi        00:00:39     03:01:37   320   15428K COMPLETED  
245526.1       merge_P3-mpi      00:00:57     04:49:40   320  143512K COMPLETED  
245527         FWT_emod3d_sh+    00:01:46     08:27:03   320          COMPLETED  
245527.batch   batch             00:01:46    00:29.736    80   13280K COMPLETED  
245527.extern  extern            00:01:46     00:00:00   320    1352K COMPLETED  
245527.0       emod3d-mpi        00:00:38     02:53:44   320   15664K COMPLETED  
245527.1       merge_P3-mpi      00:01:05     05:32:49   320  148524K COMPLETED  
245528         fdrun-mpi_ish+    00:00:25     01:56:49   320          COMPLETED  
245528.batch   batch             00:00:25    00:29.464    80    3748K COMPLETED  
245528.extern  extern            00:00:25     00:00:00   320    2876K COMPLETED  
245528.0       emod3d-mpi        00:00:23     01:56:19   320    3752K COMPLETED  
245529         fdrun-mpi_ish+    00:00:23     01:44:47   320          COMPLETED  
245529.batch   batch             00:00:23    00:29.408    80    3748K COMPLETED  
245529.extern  extern            00:00:23     00:00:00   320    1352K COMPLETED  
245529.0       emod3d-mpi        00:00:21     01:44:17   320    3752K COMPLETED  
245531         adj_test.sl       00:00:05    01:06.128    80          COMPLETED  
245531.batch   batch             00:00:05    00:00.164    80    3748K COMPLETED  
245531.extern  extern            00:00:06     00:00:00    80    1348K COMPLETED  
245531.0       python            00:00:05    01:05.964     1    3724K COMPLETED  
245532         adj_test.sl       00:00:05    00:56.464    80          COMPLETED  
245532.batch   batch             00:00:05    00:00.164    80    3748K COMPLETED  
245532.extern  extern            00:00:06     00:00:00    80    1352K COMPLETED  
245532.0       python            00:00:05    00:56.300     1    3728K COMPLETED  
245533         adj_test.sl       00:00:04    00:44.140    80          COMPLETED  
245533.batch   batch             00:00:04    00:00.164    80    3744K COMPLETED  
245533.extern  extern            00:00:05     00:00:00    80       4K COMPLETED  
245533.0       python            00:00:04    00:43.976     1    3724K COMPLETED  
245534         adj_test.sl       00:00:05    00:41.864    80          COMPLETED  
245534.batch   batch             00:00:05    00:00.164    80    3748K COMPLETED  
245534.extern  extern            00:00:05     00:00:00    80    1348K COMPLETED  
245534.0       python            00:00:04    00:41.700     1    3728K COMPLETED  
245535         FWT_emod3d_sh+    00:01:57     09:29:00   320          COMPLETED  
245535.batch   batch             00:01:57    00:00.756    80   13200K COMPLETED  
245535.extern  extern            00:01:57     00:00:00   320    1348K COMPLETED  
245535.0       emod3d-mpi        00:00:40     03:02:24   320   15752K COMPLETED  
245535.1       merge_P3-mpi      00:01:15     06:26:35   320  145636K COMPLETED  
245536         FWT_emod3d_sh+    00:01:32     07:13:19   320          COMPLETED  
245536.batch   batch             00:01:32    00:00.752    80   13204K COMPLETED  
245536.extern  extern            00:01:33     00:00:00   320    1352K COMPLETED  
245536.0       emod3d-mpi        00:00:36     02:37:30   320   15736K COMPLETED  
245536.1       merge_P3-mpi      00:00:54     04:35:48   320  142448K COMPLETED  
245537         FWT_emod3d_sh+    00:01:33     07:18:03   320          COMPLETED  
245537.batch   batch             00:01:33    00:00.776    80   13224K COMPLETED  
245537.extern  extern            00:01:33     00:00:00   320    1348K COMPLETED  
245537.0       emod3d-mpi        00:00:33     02:27:44   320  145228K COMPLETED  
245537.1       merge_P3-mpi      00:00:58     04:50:18   320  143772K COMPLETED  
245538         FWT_emod3d_sh+    00:01:56     09:21:38   320          COMPLETED  
245538.batch   batch             00:01:56    00:00.732    80   13280K COMPLETED  
245538.extern  extern            00:01:56     00:00:00   320    1348K COMPLETED  
245538.0       emod3d-mpi        00:00:39     02:58:55   320   15764K COMPLETED  
245538.1       merge_P3-mpi      00:01:15     06:22:42   320  148256K COMPLETED  
245540         fdrun-mpi_ish+    00:00:26     01:55:46   320          COMPLETED  
245540.batch   batch             00:00:26    00:29.544    80    1672K COMPLETED  
245540.extern  extern            00:00:26     00:00:00   320    2876K COMPLETED  
245540.0       emod3d-mpi        00:00:23     01:55:16   320    3752K COMPLETED  
245543         kernel_shot_i+    00:01:43    01:11.024    80          COMPLETED  
245543.batch   batch             00:01:43    00:00.160    80   13044K COMPLETED  
245543.extern  extern            00:01:44     00:00:00    80    1348K COMPLETED  
245543.0       python            00:01:42    01:10.864     1 3540542+ COMPLETED  
245544         fdrun-mpi_ish+    00:00:24     01:47:04   320          COMPLETED  
245544.batch   batch             00:00:24    00:29.496    80    3752K COMPLETED  
245544.extern  extern            00:00:24     00:00:00   320    1352K COMPLETED  
245544.0       emod3d-mpi        00:00:21     01:46:34   320    3776K COMPLETED  
245545         kernel_shot_i+    00:01:35    01:11.552    80          COMPLETED  
245545.batch   batch             00:01:35    00:00.160    80   13048K COMPLETED  
245545.extern  extern            00:01:35     00:00:00    80     748K COMPLETED  
245545.0       python            00:01:34    01:11.392     1 2862856+ COMPLETED  
245546         kernel_shot_i+    00:01:31    01:09.648    80          COMPLETED  
245546.batch   batch             00:01:31    00:00.160    80   13036K COMPLETED  
245546.extern  extern            00:01:31     00:00:00    80     748K COMPLETED  
245546.0       python            00:01:31    01:09.488     1 3448117+ COMPLETED  
245547         kernel_shot_i+    00:01:31    01:10.264    80          COMPLETED  
245547.batch   batch             00:01:31    00:00.160    80   13048K COMPLETED  
245547.extern  extern            00:01:31     00:00:00    80     748K COMPLETED  
245547.0       python            00:01:30    01:10.104     1 3069568+ COMPLETED  
245548         fdrun-mpi_ish+    00:00:24     01:50:09   320          COMPLETED  
245548.batch   batch             00:00:24    00:29.564    80    3748K COMPLETED  
245548.extern  extern            00:00:24     00:00:00   320    1348K COMPLETED  
245548.0       emod3d-mpi        00:00:22     01:49:39   320    3752K COMPLETED  
245549         fdrun-mpi_ish+    00:00:26     02:00:14   320          COMPLETED  
245549.batch   batch             00:00:26    00:29.452    80    3748K COMPLETED  
245549.extern  extern            00:00:26     00:00:00   320    1352K COMPLETED  
245549.0       emod3d-mpi        00:00:24     01:59:45   320    3752K COMPLETED  
245550         FWT_emod3d_sh+    00:01:55     09:01:24   320          COMPLETED  
245550.batch   batch             00:01:55    00:29.564    80   13280K COMPLETED  
245550.extern  extern            00:01:55     00:00:00   320    1352K COMPLETED  
245550.0       emod3d-mpi        00:00:42     03:08:44   320   16004K COMPLETED  
245550.1       merge_P3-mpi      00:01:08     05:52:10   320  148800K COMPLETED  
245551         FWT_emod3d_sh+    00:01:50     08:40:08   320          COMPLETED  
245551.batch   batch             00:01:50    00:29.660    80   13200K COMPLETED  
245551.extern  extern            00:01:50     00:00:00   320    1352K COMPLETED  
245551.0       emod3d-mpi        00:00:39     02:51:25   320   15664K COMPLETED  
245551.1       merge_P3-mpi      00:01:08     05:48:13   320  147192K COMPLETED  
245552         fdrun-mpi_ish+    00:00:29     02:08:54   320          COMPLETED  
245552.batch   batch             00:00:29    00:29.500    80    3752K COMPLETED  
245552.extern  extern            00:00:29     00:00:00   320    1348K COMPLETED  
245552.0       emod3d-mpi        00:00:26     02:08:24   320    3756K COMPLETED  
245553         FWT_emod3d_sh+    00:01:55     09:03:11   320          COMPLETED  
245553.batch   batch             00:01:55    00:29.876    80   51472K COMPLETED  
245553.extern  extern            00:01:55     00:00:00   320    1352K COMPLETED  
245553.0       emod3d-mpi        00:00:39     02:57:33   320   15684K COMPLETED  
245553.1       merge_P3-mpi      00:01:11     06:05:08   320  145104K COMPLETED  
245554         FWT_emod3d_sh+    00:01:58     09:29:51   320          COMPLETED  
245554.batch   batch             00:01:58    00:29.728    80   13212K COMPLETED  
245554.extern  extern            00:01:58     00:00:00   320    1352K COMPLETED  
245554.0       emod3d-mpi        00:00:42     03:16:18   320   15656K COMPLETED  
245554.1       merge_P3-mpi      00:01:12     06:13:02   320  147200K COMPLETED  
245555         fdrun-mpi_ish+    00:00:30     02:11:03   320          COMPLETED  
245555.batch   batch             00:00:30    00:29.312    80    3752K COMPLETED  
245555.extern  extern            00:00:30     00:00:00   320    1348K COMPLETED  
245555.0       emod3d-mpi        00:00:27     02:10:34   320    3764K COMPLETED  
245556         fdrun-mpi_ish+    00:00:27     02:06:23   320          COMPLETED  
245556.batch   batch             00:00:27    00:29.496    80    3752K COMPLETED  
245556.extern  extern            00:00:27     00:00:00   320    1348K COMPLETED  
245556.0       emod3d-mpi        00:00:25     02:05:53   320    3760K COMPLETED  
245557         fdrun-mpi_ish+    00:00:27     02:03:50   320          COMPLETED  
245557.batch   batch             00:00:27    00:29.308    80   13200K COMPLETED  
245557.extern  extern            00:00:27     00:00:00   320    1352K COMPLETED  
245557.0       emod3d-mpi        00:00:25     02:03:21   320   15532K COMPLETED  
245558         adj_test.sl       00:00:07    01:05.244    80          COMPLETED  
